Año,Trimestre,Provincia,Accesos por cada 100 hogares
2018,3,Río Negro,50.54264808703746
2018,3,Salta,39.42741342068409
2018,3,San Juan,33.05141650392377
2018,3,San Luis,52.35311497551916
2018,3,Santa Cruz,32.72785029455932
2018,3,Santa Fe,63.4096146162309
2018,3,Santiago Del Estero,36.24961697805127
2018,3,Tierra Del Fuego,92.77191839394062
2018,3,Tucumán,41.68101359528755
2018,2,Buenos Aires,62.78226651094991
2018,2,Capital Federal,106.53494128146691
2018,2,Catamarca,32.8575008674866
2018,2,Chaco,31.251704996034892
2018,2,Chubut,54.90230333735512
2018,2,Córdoba,63.2743661231958
2018,2,Corrientes,33.80975390881165
2018,2,Entre Ríos,49.20261187052838
2018,2,Formosa,29.434226520796997
2018,2,Jujuy,23.432202729854474
2018,2,La Pampa,71.04033787278055
2018,2,La Rioja,50.97789073923241
2018,2,Mendoza,36.97287272406129
2018,2,Misiones,31.630907682221824
2018,2,Neuquén,60.23679161402031
2018,2,Río Negro,50.147894623963396
2018,2,Salta,39.93719209989731
2018,2,San Juan,32.94664884868421
2018,2,San Luis,15.150424491351385
2018,2,Santa Cruz,33.33236451006607
2018,2,Santa Fe,62.57079239957442
2018,2,Santiago Del Estero,35.256464211164236
2018,2,Tierra Del Fuego,91.60519629538562
2018,2,Tucumán,41.512563170017415
2018,1,Buenos Aires,62.62621166168454
2018,1,Capital Federal,106.23567174586837
2018,1,Catamarca,32.79361613741535
2018,1,Chaco,30.829927645702472
2018,1,Chubut,53.71560488248906
2018,1,Córdoba,63.51716965201617
2018,1,Corrientes,32.66346087317512
2018,1,Entre Ríos,48.68120241785722
2018,1,Formosa,21.404310259211442
2018,1,Jujuy,23.121260875677535
2018,1,La Pampa,71.75163692275797
2018,1,La Rioja,51.44351011244806
2018,1,Mendoza,37.07215110240331
2018,1,Misiones,30.95673588446963
2018,1,Neuquén,61.517390351563726
2018,1,Río Negro,49.816861312232405
2018,1,Salta,39.775591632918804
2018,1,San Juan,32.60917745169287
2018,1,San Luis,15.14879034827491
2018,1,Santa Cruz,33.55275989857616
2018,1,Santa Fe,62.28199844300957
2018,1,Santiago Del Estero,34.9882694482421
2018,1,Tierra Del Fuego,65.19963702359347
2018,1,Tucumán,41.176009388866156
2017,4,Buenos Aires,57.609615290258205
2017,4,Capital Federal,122.89742418734991
2017,4,Catamarca,28.620950093924897
2017,4,Chaco,30.808158111236537
2017,4,Chubut,51.46309626749354
2017,4,Córdoba,63.33262565207773
2017,4,Corrientes,32.51511831118755
2017,4,Entre Ríos,47.885245293746834
2017,4,Formosa,21.270976689249718
2017,4,Jujuy,22.742083716267025
2017,4,La Pampa,71.04976106378558
2017,4,La Rioja,51.56847440546175
2017,4,Mendoza,33.32562553415048
2017,4,Misiones,31.14218485379854
2017,4,Neuquén,61.24232317785096
2017,4,Río Negro,49.37562976824529
2017,4,Salta,39.79624247145896
2017,4,San Juan,30.29992919128174
2017,4,San Luis,10.586731069754228
2017,4,Santa Cruz,28.912492882806827
2017,4,Santa Fe,61.7127712196729
2017,4,Santiago Del Estero,29.126386109501063
2017,4,Tierra Del Fuego,59.89413596263622
2017,4,Tucumán,39.8968735176797
2017,3,Buenos Aires,55.62938339533962
2017,3,Capital Federal,121.85832590969336
2017,3,Catamarca,32.49092567790524
2017,3,Chaco,29.975925647657625
2017,3,Chubut,46.21537746651841
2017,3,Córdoba,62.30700225296333
2017,3,Corrientes,32.16543574593796
2017,3,Entre Ríos,45.95812167017718
2017,3,Formosa,21.350384380070757
2017,3,Jujuy,22.64536299508256
2017,3,La Pampa,69.13993701142644
2017,3,La Rioja,51.46525230494696
2017,3,Mendoza,35.70493177720565
2017,3,Misiones,30.205990933031902
2017,3,Neuquén,60.8304131050389
2017,3,Río Negro,48.518658939500625
2017,3,Salta,39.839700806907416
2017,3,San Juan,32.36688935995978
2017,3,San Luis,15.477861790298098
2017,3,Santa Cruz,33.29182971658959
2017,3,Santa Fe,60.90635563451515
2017,3,Santiago Del Estero,35.12104488438485
2017,3,Tierra Del Fuego,65.74180473434595
2017,3,Tucumán,39.69537916123259
2017,2,Buenos Aires,56.272144161691315
2017,2,Capital Federal,124.06139375642523
2017,2,Catamarca,25.97712106768351
2017,2,Chaco,29.045524775453423
2017,2,Chubut,35.54601117914412
2017,2,Córdoba,58.973528908003566
2017,2,Corrientes,31.38612136835505
2017,2,Entre Ríos,45.38933102824724
2017,2,Formosa,19.965076445261992
2017,2,Jujuy,22.403415894624064
2017,2,La Pampa,63.49352648099681
2017,2,La Rioja,16.203445806143563
2017,2,Mendoza,31.75860536139077
2017,2,Misiones,30.089248025085933
2017,2,Neuquén,61.91013427666159
2017,2,Río Negro,46.02080512293318
2017,2,Salta,32.739420263626215
2017,2,San Juan,26.96461612024698
2017,2,San Luis,9.513970314868304
2017,2,Santa Cruz,26.248619828709554
2017,2,Santa Fe,52.26961123969867
2017,2,Santiago Del Estero,14.118988073971998
2017,2,Tierra Del Fuego,68.46322075955756
2017,2,Tucumán,38.18623365639289
2017,1,Buenos Aires,58.57400244920328
2017,1,Capital Federal,108.36920836560806
2017,1,Catamarca,25.659350838021506
2017,1,Chaco,28.62166053842791
2017,1,Chubut,35.662220237763016
2017,1,Córdoba,57.65332959287443
2017,1,Corrientes,30.940600109644144
2017,1,Entre Ríos,44.907273687041226
2017,1,Formosa,19.842489178645863
2017,1,Jujuy,22.756985962232346
2017,1,La Pampa,62.66928104575163
2017,1,La Rioja,16.19552414605418
2017,1,Mendoza,31.843012770179662
2017,1,Misiones,29.522202363131044
2017,1,Neuquén,61.02302006782746
2017,1,Río Negro,46.02953874119518
2017,1,Salta,32.57548931482305
2017,1,San Juan,27.03676098842391
2017,1,San Luis,9.545500193678896
2017,1,Santa Cruz,26.52499173785465
2017,1,Santa Fe,51.970107692080425
2017,1,Santiago Del Estero,14.702119493368587
2017,1,Tierra Del Fuego,68.91974851288131
2017,1,Tucumán,37.90016075894098
2016,4,Buenos Aires,61.236587430356856
2016,4,Capital Federal,120.63133173632356
2016,4,Catamarca,26.543515589961913
2016,4,Chaco,28.786656085255263
2016,4,Chubut,36.07290546427898
2016,4,Córdoba,57.696719154378975
2016,4,Corrientes,30.98107037649768
2016,4,Entre Ríos,45.208402854677
2016,4,Formosa,19.84823607816392
2016,4,Jujuy,22.651387008241425
2016,4,La Pampa,63.016182768654026
2016,4,La Rioja,16.45531638401623
2016,4,Mendoza,32.10735338479002
2016,4,Misiones,29.720149807797423
2016,4,Neuquén,60.873667228199054
2016,4,Río Negro,46.38521035065572
2016,4,Salta,32.69411973937546
2016,4,San Juan,27.292421452197058
2016,4,San Luis,9.640682435370556
2016,4,Santa Cruz,27.04676021484584
2016,4,Santa Fe,52.19105023718895
2016,4,Santiago Del Estero,15.067847510433346
2016,4,Tierra Del Fuego,70.30526590539473
2016,4,Tucumán,37.9807622036193
2016,3,Buenos Aires,60.14329545468815
2016,3,Capital Federal,120.77287775101534
2016,3,Catamarca,26.48067675746367
2016,3,Chaco,28.910749068480953
2016,3,Chubut,36.17869442878647
2016,3,Córdoba,58.24381625803197
2016,3,Corrientes,31.066878826051184
2016,3,Entre Ríos,45.43514088447326
2016,3,Formosa,18.639708302862847
2016,3,Jujuy,22.605154265256864
2016,3,La Pampa,61.73178543650905
2016,3,La Rioja,17.074559106484113
2016,3,Mendoza,32.08835884566649
2016,3,Misiones,29.905385775898186
2016,3,Neuquén,60.21485088853954
2016,3,Río Negro,46.38796536215942
2016,3,Salta,32.95583168118035
2016,3,San Juan,27.31712713599077
2016,3,San Luis,9.630539686885157
2016,3,Santa Cruz,26.835201895450698
2016,3,Santa Fe,52.67215036886248
2016,3,Santiago Del Estero,15.329646578472886
2016,3,Tierra Del Fuego,68.94049249100736
2016,3,Tucumán,37.89736341023836
2016,2,Buenos Aires,59.33852679105808
2016,2,Capital Federal,120.03953504825309
2016,2,Catamarca,26.074188059740646
2016,2,Chaco,28.5935505552226
2016,2,Chubut,36.12438565556337
2016,2,Córdoba,57.54798052828644
2016,2,Corrientes,30.580162046616557
2016,2,Entre Ríos,44.73887454518738
2016,2,Formosa,19.370070664563997
2016,2,Jujuy,21.888281043576683
2016,2,La Pampa,60.43686025737927
2016,2,La Rioja,16.878902611111524
2016,2,Mendoza,32.12597179442594
2016,2,Misiones,29.239512823021975
2016,2,Neuquén,59.098285533662036
2016,2,Río Negro,46.240113078127436
2016,2,Salta,32.08172602508202
2016,2,San Juan,27.34078151409113
2016,2,San Luis,9.603733851602321
2016,2,Santa Cruz,26.728911725319804
2016,2,Santa Fe,52.436477259371124
2016,2,Santiago Del Estero,15.888925047306124
2016,2,Tierra Del Fuego,67.71824288255286
2016,2,Tucumán,37.23568289338424
2016,1,Buenos Aires,57.33590782254113
2016,1,Capital Federal,115.16005888884817
2016,1,Catamarca,25.910217981190538
2016,1,Chaco,28.07514644775236
2016,1,Chubut,36.0927055378499
2016,1,Córdoba,55.283092783740216
2016,1,Corrientes,30.080785004133055
2016,1,Entre Ríos,43.84596814466226
2016,1,Formosa,19.041878369434937
2016,1,Jujuy,21.41001128856396
2016,1,La Pampa,57.84086865504526
2016,1,La Rioja,16.83351837249417
2016,1,Mendoza,32.12333888801278
2016,1,Misiones,28.36765259095629
2016,1,Neuquén,55.75393700425406
2016,1,Río Negro,45.83512638708331
2016,1,Salta,31.315545971153234
2016,1,San Juan,27.330794110004312
2016,1,San Luis,9.586346282770212
2016,1,Santa Cruz,26.865862521449994
2016,1,Santa Fe,51.27734085407622
2016,1,Santiago Del Estero,16.205749206821952
2016,1,Tierra Del Fuego,65.83304163135006
2016,1,Tucumán,36.72477136636591
2015,4,Buenos Aires,58.29182182733718
2015,4,Capital Federal,118.13036321153807
2015,4,Catamarca,26.23945178859185
2015,4,Chaco,28.35056623514143
2015,4,Chubut,36.89017827786587
2015,4,Córdoba,57.364881766079215
2015,4,Corrientes,30.33643144533882
2015,4,Entre Ríos,44.10854807300098
2015,4,Formosa,19.06549151678632
2015,4,Jujuy,21.47147379391073
2015,4,La Pampa,58.75633720012275
2015,4,La Rioja,17.315778648410653
2015,4,Mendoza,32.48895249500142
2015,4,Misiones,28.686658891542372
2015,4,Neuquén,58.2893377687955
2015,4,Río Negro,46.43948111494307
2015,4,Salta,31.593492648071866
2015,4,San Juan,27.6648539357743
2015,4,San Luis,9.705768984506312
2015,4,Santa Cruz,27.74476906647967
2015,4,Santa Fe,52.60808978585806
2015,4,Santiago Del Estero,17.00497803803607
2015,4,Tierra Del Fuego,66.46220433623792
2015,4,Tucumán,37.06217328329588
2015,3,Buenos Aires,57.68868105608009
2015,3,Capital Federal,118.28921116431961
2015,3,Catamarca,25.863781184637624
2015,3,Chaco,27.963072793479412
2015,3,Chubut,36.81180991463324
2015,3,Córdoba,57.08340378951846
2015,3,Corrientes,30.16741240901903
2015,3,Entre Ríos,43.67718163526334
2015,3,Formosa,18.836751773785252
2015,3,Jujuy,21.2703333470887
2015,3,La Pampa,57.96395975091518
2015,3,La Rioja,17.151129442032545
2015,3,Mendoza,32.49199583186653
2015,3,Misiones,28.306345093436885
2015,3,Neuquén,54.59931489671118
2015,3,Río Negro,46.389186656745146
2015,3,Salta,31.175945212858434
2015,3,San Juan,27.66538565566005
2015,3,San Luis,9.70650326873876
2015,3,Santa Cruz,27.606060983429437
2015,3,Santa Fe,52.14595474084349
2015,3,Santiago Del Estero,17.11882253135319
2015,3,Tierra Del Fuego,74.85845784033849
2015,3,Tucumán,36.61035952774264
2015,2,Buenos Aires,56.80280561439208
2015,2,Capital Federal,116.06627091860372
2015,2,Catamarca,25.45341804469818
2015,2,Chaco,27.46453938839946
2015,2,Chubut,36.58246720458481
2015,2,Córdoba,55.86916350781819
2015,2,Corrientes,29.584012668108493
2015,2,Entre Ríos,42.93197901645878
2015,2,Formosa,18.36026720527858
2015,2,Jujuy,20.287219077594944
2015,2,La Pampa,56.70766522530004
2015,2,La Rioja,16.883190981963825
2015,2,Mendoza,32.49199583186653
